구 이름,위도,경도
종로구,37.57295,126.979357
중구,37.563185,126.997597
용산구,37.531101,126.981074
성동구,37.550675,127.040962
광진구,37.548144,127.085753
동대문구,37.574369,127.039988
중랑구,37.595379,127.093967
성북구,37.589562,127.0167
강북구,37.646995,127.014716
도봉구,37.665861,127.031767
노원구,37.654259,127.056294
은평구,37.617612,126.9227
서대문구,37.582037,126.935667
마포구,37.566283,126.901644
양천구,37.516771,126.866539
강서구,37.550979,126.849538
구로구,37.495486,126.858121
금천구,37.460097,126.900155
영등포구,37.526505,126.89619
동작구,37.496504,126.944307
관악구,37.465399,126.943807
서초구,37.476952,127.03781
강남구,37.495985,127.066409
송파구,37.504853,127.114482
강동구,37.549208,127.146482
